COGNOME NOME,CITTA',PROV,INDIRIZZO E-MAIL,STELLE
HOTEL ARMA,ARMA DI TAGGIA,IM,hotelarma@mareliguria.it,***
HOTEL GIUAN,ARMA DI TAGGIA,IM,info@giuan.it,***
HOTEL JEAN MARIE,ARMA DI TAGGIA,IM,reception@hoteljeanmarie.it,***
HOTEL ROMA,ARMA DI TAGGIA,IM,albergoroma@eutelia.com,***
HOTEL SOLIDAGO,ARMA DI TAGGIA,IM,info@hotelsolidago.it,***
HOTEL SVIZZERA - CASA MADRE,ARMA DI TAGGIA,IM,reception@hotelsvizzera.it,***
HOTEL TORINO,ARMA DI TAGGIA,IM,info@albergotorino.com,***
HOTEL ANNA,ARMA DI TAGGIA,IM,info@hotelanna.it,**
HOTEL CAPO VERDE,ARMA DI TAGGIA,IM,hotelcapoverde@live.it,**
HOTEL EUROPA,ARMA DI TAGGIA,IM,hoteleuropaarma@gmail.com,**
HOTEL GRAZIELLA,ARMA DI TAGGIA,IM,hotel_graziella@yahoo.it,**
HOTEL IDEAL,ARMA DI TAGGIA,IM,info@albergoideal.net,**
HOTEL LUCERNA - CASA MADRE,ARMA DI TAGGIA,IM,info@albergolucerna.it,**
HOTEL LUISELLA,ARMA DI TAGGIA,IM,,**
HOTEL GRAND HOTEL DEL MARE,BORDIGHERA,IM,info@grandhoteldelmare.it ,*****
HOTEL PARIGI,BORDIGHERA,IM,direzione@hotelparigi.com ,****
HOTEL ASTORIA,BORDIGHERA,IM,info@astoriabordighera.it ,***
HOTEL AURORA,BORDIGHERA,IM,info@hotelaurora.net ,***
HOTEL CENTOHOTEL,BORDIGHERA,IM,centrohotel@libero.it ,***
HOTEL DELLA PUNTA,BORDIGHERA,IM,info@hoteldellapunta.it,***
HOTEL ERICA,BORDIGHERA,IM,info@albergoenrica.com ,***
HOTEL GARDEN,BORDIGHERA,IM,info@hotelgardenbordighera.com,***
HOTEL LA SCOGLIERA,BORDIGHERA,IM,,
HOTEL LUCCIOLA,BORDIGHERA,IM,info@luxorhotel.eu,***
HOTEL MAR LIGURE,BORDIGHERA,IM,info@hotelmarligure.it ,***
HOTEL MIRELLA,BORDIGHERA,IM,info@hotelmirelia.it ,***
HOTEL PICCOLO LIDO,BORDIGHERA,IM,info@hotelpiccololido.it ,***
HOTEL SAVOY,BORDIGHERA,IM,direzione@savoybordighera.it ,***
HOTEL VILLA ELISA,BORDIGHERA,IM,info@villaelisa.com ,***
HOTEL VILLA SPERANZA,BORDIGHERA,IM,hotelvillasperanza@libero.it ,***
HOTEL LORA,BORDIGHERA,IM,info@albergolora.it ,**
HOTEL LUXOR,BORDIGHERA,IM,info@luxorhotel.eu ,**
HOTEL ROSALIA,BORDIGHERA,IM,info@hotelrosalia.it ,**
HOTEL TORINO,BORDIGHERA,IM,albergotorino@libero.it ,**
HOTEL SAN NICOLA,CERVO,IM,hotel-s.nicola-cervo@hotmail.it ,***
HOTEL LE NEREIDI,CERVO,IM,lenereidihotel@libero.it,**
HOTEL BELLEVUE ET MEDITERRANEE ,DIANO MARINA,IM,postmaster@bellevueetmediterranee.it ,****
HOTEL CARAVELLE,DIANO MARINA,IM,info@hotelcaravelle.net ,****
HOTEL EDEN PARK,DIANO MARINA,IM,info@edenparkdiano.it ,****
